strategy,phase_index,requested_rps,achieved_rps,started,completed,errors,skipped,p50_ms,p95_ms,p99_ms,created,disposed,created_during_phase,disposed_during_phase,live,peak_live,logical_retained_mb,logical_peak_mb,logical_disposed_mb,pool_retained_mb,retained_mb_seconds,sampled_seconds,avg_pool_retained_mb,peak_pool_total,peak_pool_in_use,peak_pool_waiting,adaptive_pool_retained_mb,objectpool_vs_adaptive_retained_factor,objectpool_excess_retained_mb,managed_mb,working_set_mb,gen0,gen1,gen2,pool_total,pool_available,pool_in_use,pool_waiting
"NoPool",0,1,1,3,3,0,0,72.685500000000005,73.6387,73.6387,3,3,3,3,0,1,0,10,30,0,0,3.083334800000002,0,0,0,0,10,,,20.1400146484375,55.75,3,3,3,0,0,0,0
"NoPool",1,10,10,30,30,0,0,68.634600000000006,75.689700000000002,76.143199999999993,33,33,30,30,0,1,0,10,330,0,0,3.0706330000000004,0,0,0,0,10,,,20.1214599609375,67.94921875,18,18,18,0,0,0,0
"NoPool",2,100,100,300,300,0,0,68.378100000000003,72.896900000000002,76.324399999999997,333,333,300,300,0,3,0,30,3330,0,0,3.0729029000000025,0,0,0,0,30,,,20.172798156738281,168.88671875,114,114,114,0,0,0,0
"NoPool",3,1000,1000,3000,3000,0,0,68.296899999999994,72.847499999999997,79.880700000000004,3333,3333,3000,3000,0,30,0,300,33330,0,0,3.0687565999999964,0,0,0,0,800,,,670.54174041748047,1062.5703125,252,252,252,0,0,0,0
"NoPool",4,10000,2560.3333333333335,7681,7681,0,22319,75.387799999999999,229.5591,256.90019999999998,11014,11014,7681,7681,0,97,0,970,110140,0,0,3.0755539999999968,0,0,0,0,2560,,,2291.3176116943359,12211.65234375,290,290,290,0,0,0,0
"NoPool",5,20000,3284.6666666666665,9854,9854,0,50146,75.239000000000004,92.285499999999999,108.35550000000001,20868,20868,9854,9854,0,157,0,1570,208680,0,0,3.0725609999999985,0,0,0,0,2560,,,4732.2342224121094,11524.7421875,335,335,335,0,0,0,0
"NoPool",6,30000,3342.6666666666665,10028,10028,0,79972,73.747200000000007,87.638999999999996,107.652,30896,30896,10028,10028,0,157,0,1570,308960,0,0,3.0863079999999981,0,0,0,0,2560,,,1082.0947952270508,11462.97265625,386,385,385,0,0,0,0
"NoPool",7,20000,3415.3333333333335,10246,10246,0,49754,72.301500000000004,83.608000000000004,97.170299999999997,41142,41142,10246,10246,0,157,0,1570,411420,0,0,3.0756780000000012,0,0,0,0,2560,,,2952.5924682617188,10805.2265625,446,445,445,0,0,0,0
"NoPool",8,10000,3413.3333333333335,10240,10240,0,19760,72.181299999999993,84.833600000000004,96.012200000000007,51382,51382,10240,10240,0,157,0,1570,513820,0,0,3.0742756000000004,0,0,0,0,2560,,,632.42555999755859,10634.4609375,508,507,506,0,0,0,0
"NoPool",9,1000,1000,3000,3000,0,0,68.222800000000007,72.567899999999995,72.948899999999995,54382,54382,3000,3000,0,157,0,1570,543820,0,0,3.0718401000000024,0,0,0,0,2560,,,501.83428192138672,9899.65234375,640,639,638,0,0,0,0
